"","0","1"
"1981",1030.47727272727,NA
"1982",818.045454545455,565.854166666667
"1983",764.859090909091,631.620833333333
"1984",569.413636363636,368.295833333333
"1985",939.040909090909,656.183333333333
"1986",784.918181818182,565.175
"1987",749.55,561.8375
"1988",937.431818181818,501.520833333333
"1989",784.413636363636,575.845833333333
"1990",826.104545454545,706.670833333333
"1991",807.422727272727,581.7
"1992",776.895454545455,468.825
"1993",658.718181818182,479.3375
"1994",897.363636363636,490.35
"1995",794.309090909091,690.504166666667
"1996",812.463636363636,506.4625
"1997",837.077272727273,563.841666666667
"1998",819.9,987.925
"1999",810.4,409.304166666667
"2000",646.609090909091,432.575
"2001",833,520.691666666667
"2002",824.036363636364,573.829166666667
"2003",938.359090909091,661.341666666667
"2004",688.159090909091,466.591666666667
"2005",792.363636363636,529.466666666667
"2006",859.740909090909,473.754166666667
"2007",829.268181818182,796.5875
"2008",759.577272727273,473.55
"2009",627.581818181818,385.716666666667
"2010",944.218181818182,672.345833333333
"2011",833.027272727273,371.770833333333
"2012",1023.04545454545,686.170833333333
"2013",972.454545454545,685.254166666667
"2014",811.127272727273,505.829166666667
